,arrival,parking_entry,kiosk,department_entrance,department_exit,parking_exit,departure,visit_time,parking_entry_wait,kiosk_wait,department_entrance_wait,department_exit_wait,parking_exit_wait,departure_wait,parking_entry_wait_wgt,kiosk_wait_wgt,department_entrance_wait_wgt,department_exit_wait_wgt,parking_exit_wait_wgt,departure_wait_wgt,Rating,Date
13,17:47:58,17:48:58,18:04:58,18:31:58,19:09:58,19:15:58,19:21:58,94,1,16,27,38,6,6,0.088,0.265,0.324,0.206,0.088,0.029,7.0,2021-06-23
14,16:31:21,16:34:21,16:39:21,17:00:21,18:04:21,18:11:21,18:13:21,102,3,5,21,64,7,2,0.088,0.265,0.324,0.206,0.088,0.029,7.0,2021-06-25
15,23:27:05,23:33:05,23:49:05,0:20:05,0:55:05,1:09:05,1:14:05,107,6,16,31,35,14,5,0.088,0.265,0.324,0.206,0.088,0.029,7.0,2021-06-21
16,2:30:10,2:36:10,2:47:10,3:15:10,4:08:10,4:21:10,4:26:10,116,6,11,28,53,13,5,0.088,0.265,0.324,0.206,0.088,0.029,8.0,2021-06-26
17,3:13:03,3:16:03,3:27:03,3:59:03,5:01:03,5:11:03,5:16:03,123,3,11,32,62,10,5,0.088,0.265,0.324,0.206,0.088,0.029,9.0,2021-06-22
18,2:45:00,2:49:00,2:54:00,3:28:00,4:03:00,4:10:00,4:18:00,93,4,5,34,35,7,8,0.088,0.265,0.324,0.206,0.088,0.029,6.0,2021-06-18
19,9:39:54,9:41:54,9:57:54,10:23:54,11:09:54,11:16:54,11:24:54,105,2,16,26,46,7,8,0.088,0.265,0.324,0.206,0.088,0.029,7.0,2021-06-20
20,1:40:02,1:49:02,2:04:02,2:26:02,2:54:02,3:06:02,3:11:02,91,9,15,22,28,12,5,0.088,0.265,0.324,0.206,0.088,0.029,6.0,2021-06-27
21,2:21:18,2:24:18,2:38:18,2:56:18,3:38:18,3:51:18,3:53:18,92,3,14,18,42,13,2,0.088,0.265,0.324,0.206,0.088,0.029,6.0,2021-06-23
22,18:50:43,18:53:43,19:06:43,19:30:43,20:10:43,20:13:43,20:22:43,92,3,13,24,40,3,9,0.088,0.265,0.324,0.206,0.088,0.029,6.0,2021-06-27
23,18:00:32,18:06:32,18:20:32,18:44:32,19:23:32,19:39:32,19:42:32,102,6,14,24,39,16,3,0.088,0.265,0.324,0.206,0.088,0.029,7.0,2021-06-27
24,2:32:52,2:40:52,2:47:52,2:58:52,3:48:52,3:57:52,4:05:52,93,8,7,11,50,9,8,0.088,0.265,0.324,0.206,0.088,0.029,5.0,2021-06-25
25,20:31:01,20:35:01,20:40:01,21:03:01,21:43:01,21:49:01,21:50:01,79,4,5,23,40,6,1,0.088,0.265,0.324,0.206,0.088,0.029,5.0,2021-06-22
26,14:42:41,14:49:41,14:57:41,15:16:41,15:44:41,15:53:41,15:57:41,75,7,8,19,28,9,4,0.088,0.265,0.324,0.206,0.088,0.029,5.0,2021-06-26
27,16:27:34,16:33:34,16:42:34,17:07:34,18:08:34,18:16:34,18:24:34,117,6,9,25,61,8,8,0.088,0.265,0.324,0.206,0.088,0.029,8.0,2021-06-21
28,22:48:54,22:49:54,22:59:54,23:12:54,0:14:54,0:20:54,0:27:54,99,1,10,13,62,6,7,0.088,0.265,0.324,0.206,0.088,0.029,6.0,2021-06-21
29,0:12:22,0:17:22,0:22:22,0:53:22,1:36:22,1:50:22,1:51:22,99,5,5,31,43,14,1,0.088,0.265,0.324,0.206,0.088,0.029,7.0,2021-06-21
30,5:16:54,5:23:54,5:37:54,5:50:54,6:38:54,6:47:54,6:56:54,100,7,14,13,48,9,9,0.088,0.265,0.324,0.206,0.088,0.029,6.0,2021-06-20
31,18:56:53,19:03:53,19:17:53,19:32:53,19:59:53,20:11:53,20:16:53,80,7,14,15,27,12,5,0.088,0.265,0.324,0.206,0.088,0.029,5.0,2021-06-23
32,19:49:44,19:53:44,20:08:44,20:42:44,21:28:44,21:41:44,21:43:44,114,4,15,34,46,13,2,0.088,0.265,0.324,0.206,0.088,0.029,8.0,2021-06-18
33,21:05:18,21:14:18,21:25:18,21:37:18,22:04:18,22:10:18,22:11:18,66,9,11,12,27,6,1,0.088,0.265,0.324,0.206,0.088,0.029,4.0,2021-06-18
34,20:19:18,20:21:18,20:35:18,20:52:18,21:39:18,21:43:18,21:48:18,89,2,14,17,47,4,5,0.088,0.265,0.324,0.206,0.088,0.029,6.0,2021-06-19
35,12:57:10,13:00:10,13:05:10,13:35:10,14:34:10,14:45:10,14:51:10,114,3,5,30,59,11,6,0.088,0.265,0.324,0.206,0.088,0.029,8.0,2021-06-25
36,22:44:43,22:50:43,23:04:43,23:19:43,23:53:43,0:08:43,0:12:43,88,6,14,15,34,15,4,0.088,0.265,0.324,0.206,0.088,0.029,5.0,2021-06-23
37,23:53:25,23:58:25,0:07:25,0:22:25,0:47:25,0:56:25,1:05:25,72,5,9,15,25,9,9,0.088,0.265,0.324,0.206,0.088,0.029,4.0,2021-06-25
38,22:11:03,22:19:03,22:26:03,22:34:03,23:23:03,23:31:03,23:39:03,88,8,7,8,49,8,8,0.088,0.265,0.324,0.206,0.088,0.029,5.0,2021-06-20
39,18:53:21,18:55:21,19:01:21,19:16:21,19:57:21,20:05:21,20:11:21,78,2,6,15,41,8,6,0.088,0.265,0.324,0.206,0.088,0.029,5.0,2021-06-23
40,5:16:30,5:20:30,5:29:30,5:49:30,6:26:30,6:30:30,6:38:30,82,4,9,20,37,4,8,0.088,0.265,0.324,0.206,0.088,0.029,5.0,2021-06-18
41,18:49:12,18:55:12,19:00:12,19:22:12,19:58:12,20:09:12,20:13:12,84,6,5,22,36,11,4,0.088,0.265,0.324,0.206,0.088,0.029,5.0,2021-06-24
42,13:12:03,13:16:03,13:23:03,13:56:03,14:41:03,14:50:03,14:56:03,104,4,7,33,45,9,6,0.088,0.265,0.324,0.206,0.088,0.029,7.0,2021-06-26
43,11:44:30,11:46:30,11:56:30,12:18:30,13:18:30,13:33:30,13:39:30,115,2,10,22,60,15,6,0.088,0.265,0.324,0.206,0.088,0.029,7.0,2021-06-18
44,15:05:10,15:08:10,15:24:10,15:41:10,16:22:10,16:35:10,16:42:10,97,3,16,17,41,13,7,0.088,0.265,0.324,0.206,0.088,0.029,6.0,2021-06-21
45,15:52:23,15:56:23,16:09:23,16:28:23,16:58:23,17:03:23,17:04:23,72,4,13,19,30,5,1,0.088,0.265,0.324,0.206,0.088,0.029,5.0,2021-06-25
46,11:12:58,11:16:58,11:21:58,11:41:58,12:33:58,12:46:58,12:47:58,95,4,5,20,52,13,1,0.088,0.265,0.324,0.206,0.088,0.029,6.0,2021-06-22
47,22:56:56,22:59:56,23:03:56,23:17:56,0:00:56,0:08:56,0:15:56,79,3,4,14,43,8,7,0.088,0.265,0.324,0.206,0.088,0.029,5.0,2021-06-19
48,0:46:36,0:50:36,0:56:36,1:24:36,2:07:36,2:15:36,2:18:36,92,4,6,28,43,8,3,0.088,0.265,0.324,0.206,0.088,0.029,6.0,2021-06-19
49,5:33:07,5:39:07,5:51:07,6:10:07,6:58:07,7:14:07,7:17:07,104,6,12,19,48,16,3,0.088,0.265,0.324,0.206,0.088,0.029,7.0,2021-06-27
50,15:23:24,15:28:24,15:37:24,15:57:24,16:30:24,16:43:24,16:49:24,86,5,9,20,33,13,6,0.088,0.265,0.324,0.206,0.088,0.029,5.0,2021-06-19
51,3:01:04,3:08:04,3:22:04,3:34:04,4:09:04,4:17:04,4:19:04,78,7,14,12,35,8,2,0.088,0.265,0.324,0.206,0.088,0.029,5.0,2021-06-22
52,15:29:44,15:32:44,15:37:44,16:03:44,16:43:44,16:52:44,16:53:44,84,3,5,26,40,9,1,0.088,0.265,0.324,0.206,0.088,0.029,6.0,2021-06-18
53,11:51:27,11:57:27,12:03:27,12:17:27,12:43:27,12:47:27,12:55:27,64,6,6,14,26,4,8,0.088,0.265,0.324,0.206,0.088,0.029,4.0,2021-06-25
54,8:26:51,8:29:51,8:37:51,8:53:51,9:19:51,9:34:51,9:39:51,73,3,8,16,26,15,5,0.088,0.265,0.324,0.206,0.088,0.029,4.0,2021-06-27
55,8:29:58,8:38:58,8:45:58,9:04:58,9:40:58,9:48:58,9:49:58,80,9,7,19,36,8,1,0.088,0.265,0.324,0.206,0.088,0.029,5.0,2021-06-20
56,7:58:34,7:59:34,8:15:34,8:42:34,9:07:34,9:20:34,9:27:34,89,1,16,27,25,13,7,0.088,0.265,0.324,0.206,0.088,0.029,6.0,2021-06-25
57,3:05:45,3:11:45,3:19:45,3:39:45,4:37:45,4:42:45,4:48:45,103,6,8,20,58,5,6,0.088,0.265,0.324,0.206,0.088,0.029,7.0,2021-06-22
58,17:47:33,17:55:33,18:11:33,18:30:33,19:35:33,19:45:33,19:48:33,121,8,16,19,65,10,3,0.088,0.265,0.324,0.206,0.088,0.029,8.0,2021-06-22
59,17:57:41,18:00:41,18:09:41,18:26:41,19:13:41,19:20:41,19:27:41,90,3,9,17,47,7,7,0.088,0.265,0.324,0.206,0.088,0.029,6.0,2021-06-23
60,5:41:55,5:43:55,5:51:55,6:06:55,6:47:55,6:54:55,7:02:55,81,2,8,15,41,7,8,0.088,0.265,0.324,0.206,0.088,0.029,5.0,2021-06-23
61,12:31:34,12:39:34,12:55:34,13:21:34,14:12:34,14:27:34,14:35:34,124,8,16,26,51,15,8,0.088,0.265,0.324,0.206,0.088,0.029,8.0,2021-06-27
62,19:16:01,19:19:01,19:22:01,19:46:01,20:34:01,20:51:01,20:54:01,98,3,3,24,48,17,3,0.088,0.265,0.324,0.206,0.088,0.029,6.0,2021-06-20
63,6:33:30,6:39:30,6:54:30,7:24:30,8:20:30,8:33:30,8:41:30,128,6,15,30,56,13,8,0.088,0.265,0.324,0.206,0.088,0.029,9.0,2021-06-26
64,12:37:55,12:45:55,12:52:55,13:24:55,13:54:55,14:04:55,14:11:55,94,8,7,32,30,10,7,0.088,0.265,0.324,0.206,0.088,0.029,6.0,2021-06-27
65,20:44:22,20:47:22,20:56:22,21:01:22,21:44:22,21:56:22,22:03:22,79,3,9,5,43,12,7,0.088,0.265,0.324,0.206,0.088,0.029,4.0,2021-06-22
66,2:48:44,2:56:44,3:11:44,3:43:44,4:32:44,4:39:44,4:44:44,116,8,15,32,49,7,5,0.088,0.265,0.324,0.206,0.088,0.029,8.0,2021-06-26
67,1:28:06,1:32:06,1:41:06,1:55:06,2:26:06,2:38:06,2:42:06,74,4,9,14,31,12,4,0.088,0.265,0.324,0.206,0.088,0.029,4.0,2021-06-19
68,6:58:38,7:03:38,7:14:38,7:46:38,8:43:38,8:54:38,9:01:38,123,5,11,32,57,11,7,0.088,0.265,0.324,0.206,0.088,0.029,8.0,2021-06-23
69,12:46:15,12:47:15,13:03:15,13:12:15,13:49:15,14:05:15,14:08:15,82,1,16,9,37,16,3,0.088,0.265,0.324,0.206,0.088,0.029,5.0,2021-06-21
70,3:27:07,3:28:07,3:45:07,4:06:07,4:53:07,5:00:07,5:03:07,96,1,17,21,47,7,3,0.088,0.265,0.324,0.206,0.088,0.029,7.0,2021-06-22
71,12:30:58,12:38:58,12:55:58,13:23:58,14:18:58,14:32:58,14:37:58,127,8,17,28,55,14,5,0.088,0.265,0.324,0.206,0.088,0.029,8.0,2021-06-23
72,9:30:27,9:31:27,9:47:27,10:18:27,10:44:27,10:57:27,11:03:27,93,1,16,31,26,13,6,0.088,0.265,0.324,0.206,0.088,0.029,7.0,2021-06-25
73,21:42:19,21:49:19,22:01:19,22:15:19,23:03:19,23:20:19,23:28:19,106,7,12,14,48,17,8,0.088,0.265,0.324,0.206,0.088,0.029,6.0,2021-06-21
74,6:40:57,6:46:57,6:58:57,7:14:57,8:04:57,8:13:57,8:16:57,96,6,12,16,50,9,3,0.088,0.265,0.324,0.206,0.088,0.029,6.0,2021-06-23
75,21:24:27,21:32:27,21:37:27,21:55:27,22:31:27,22:40:27,22:45:27,81,8,5,18,36,9,5,0.088,0.265,0.324,0.206,0.088,0.029,5.0,2021-06-21
76,20:52:06,20:59:06,21:04:06,21:28:06,22:06:06,22:19:06,22:25:06,93,7,5,24,38,13,6,0.088,0.265,0.324,0.206,0.088,0.029,6.0,2021-06-19
77,6:25:20,6:30:20,6:37:20,7:05:20,7:38:20,7:48:20,7:51:20,86,5,7,28,33,10,3,0.088,0.265,0.324,0.206,0.088,0.029,6.0,2021-06-26
78,13:34:31,13:40:31,13:49:31,14:01:31,15:03:31,15:20:31,15:27:31,113,6,9,12,62,17,7,0.088,0.265,0.324,0.206,0.088,0.029,7.0,2021-06-26
79,22:20:59,22:23:59,22:27:59,22:48:59,23:30:59,23:34:59,23:42:59,82,3,4,21,42,4,8,0.088,0.265,0.324,0.206,0.088,0.029,5.0,2021-06-25
80,11:38:06,11:40:06,11:47:06,11:59:06,12:41:06,12:57:06,12:59:06,81,2,7,12,42,16,2,0.088,0.265,0.324,0.206,0.088,0.029,5.0,2021-06-27
81,12:46:45,12:52:45,13:05:45,13:13:45,14:00:45,14:06:45,14:13:45,87,6,13,8,47,6,7,0.088,0.265,0.324,0.206,0.088,0.029,5.0,2021-06-21
82,15:32:23,15:35:23,15:45:23,16:10:23,16:53:23,17:01:23,17:06:23,94,3,10,25,43,8,5,0.088,0.265,0.324,0.206,0.088,0.029,6.0,2021-06-20
83,23:41:10,23:44:10,23:50:10,23:57:10,1:01:10,1:17:10,1:24:10,103,3,6,7,64,16,7,0.088,0.265,0.324,0.206,0.088,0.029,6.0,2021-06-18
84,21:54:29,22:02:29,22:18:29,22:41:29,23:43:29,23:53:29,23:59:29,125,8,16,23,62,10,6,0.088,0.265,0.324,0.206,0.088,0.029,8.0,2021-06-23
85,18:57:42,19:00:42,19:17:42,19:42:42,20:18:42,20:31:42,20:38:42,101,3,17,25,36,13,7,0.088,0.265,0.324,0.206,0.088,0.029,7.0,2021-06-26
86,23:32:39,23:36:39,23:51:39,23:57:39,0:37:39,0:50:39,0:52:39,80,4,15,6,40,13,2,0.088,0.265,0.324,0.206,0.088,0.029,5.0,2021-06-20
87,16:28:17,16:31:17,16:48:17,17:12:17,18:07:17,18:18:17,18:24:17,116,3,17,24,55,11,6,0.088,0.265,0.324,0.206,0.088,0.029,8.0,2021-06-18
88,14:54:09,15:01:09,15:11:09,15:31:09,16:27:09,16:34:09,16:40:09,106,7,10,20,56,7,6,0.088,0.265,0.324,0.206,0.088,0.029,7.0,2021-06-22
89,20:52:49,20:56:49,21:10:49,21:37:49,22:28:49,22:39:49,22:42:49,110,4,14,27,51,11,3,0.088,0.265,0.324,0.206,0.088,0.029,8.0,2021-06-19
90,6:33:28,6:39:28,6:50:28,7:14:28,7:52:28,7:59:28,8:02:28,89,6,11,24,38,7,3,0.088,0.265,0.324,0.206,0.088,0.029,6.0,2021-06-21
91,2:47:11,2:53:11,3:09:11,3:42:11,4:15:11,4:30:11,4:37:11,110,6,16,33,33,15,7,0.088,0.265,0.324,0.206,0.088,0.029,7.0,2021-06-25
92,4:24:43,4:28:43,4:41:43,4:53:43,5:55:43,6:05:43,6:08:43,104,4,13,12,62,10,3,0.088,0.265,0.324,0.206,0.088,0.029,7.0,2021-06-18
93,2:08:08,2:16:08,2:29:08,2:38:08,3:33:08,3:46:08,3:54:08,106,8,13,9,55,13,8,0.088,0.265,0.324,0.206,0.088,0.029,6.0,2021-06-23
94,12:54:10,13:00:10,13:10:10,13:40:10,14:32:10,14:46:10,14:51:10,117,6,10,30,52,14,5,0.088,0.265,0.324,0.206,0.088,0.029,8.0,2021-06-22
95,9:06:52,9:11:52,9:17:52,9:33:52,10:10:52,10:23:52,10:29:52,83,5,6,16,37,13,6,0.088,0.265,0.324,0.206,0.088,0.029,5.0,2021-06-20
96,12:12:50,12:17:50,12:31:50,12:47:50,13:49:50,14:02:50,14:10:50,118,5,14,16,62,13,8,0.088,0.265,0.324,0.206,0.088,0.029,7.0,2021-06-23
97,20:24:16,20:31:16,20:45:16,20:55:16,21:40:16,21:56:16,22:01:16,97,7,14,10,45,16,5,0.088,0.265,0.324,0.206,0.088,0.029,6.0,2021-06-26
98,4:14:46,4:18:46,4:33:46,4:50:46,5:24:46,5:33:46,5:38:46,84,4,15,17,34,9,5,0.088,0.265,0.324,0.206,0.088,0.029,5.0,2021-06-20
99,3:17:31,3:24:31,3:28:31,3:53:31,4:38:31,4:49:31,4:54:31,97,7,4,25,45,11,5,0.088,0.265,0.324,0.206,0.088,0.029,6.0,2021-06-18
100,22:55:31,23:03:31,23:09:31,23:32:31,0:10:31,0:15:31,0:19:31,84,8,6,23,38,5,4,0.088,0.265,0.324,0.206,0.088,0.029,6.0,2021-06-19
101,17:54:32,17:58:32,18:08:32,18:34:32,19:02:32,19:14:32,19:17:32,83,4,10,26,28,12,3,0.088,0.265,0.324,0.206,0.088,0.029,6.0,2021-06-24
102,3:28:14,3:31:14,3:35:14,4:06:14,5:00:14,5:10:14,5:13:14,105,3,4,31,54,10,3,0.088,0.265,0.324,0.206,0.088,0.029,7.0,2021-06-21
103,20:59:07,21:01:07,21:16:07,21:50:07,22:38:07,22:54:07,22:59:07,120,2,15,34,48,16,5,0.088,0.265,0.324,0.206,0.088,0.029,8.0,2021-06-21
104,1:38:56,1:42:56,1:50:56,2:02:56,2:32:56,2:46:56,2:48:56,70,4,8,12,30,14,2,0.088,0.265,0.324,0.206,0.088,0.029,4.0,2021-06-26
105,13:43:02,13:50:02,14:02:02,14:18:02,15:21:02,15:30:02,15:35:02,112,7,12,16,63,9,5,0.088,0.265,0.324,0.206,0.088,0.029,7.0,2021-06-18
106,13:42:36,13:50:36,13:59:36,14:15:36,14:53:36,15:02:36,15:08:36,86,8,9,16,38,9,6,0.088,0.265,0.324,0.206,0.088,0.029,5.0,2021-06-24
107,5:33:41,5:41:41,5:49:41,6:04:41,6:46:41,6:57:41,6:58:41,85,8,8,15,42,11,1,0.088,0.265,0.324,0.206,0.088,0.029,5.0,2021-06-18
108,0:53:13,0:55:13,1:05:13,1:12:13,1:51:13,2:04:13,2:10:13,77,2,10,7,39,13,6,0.088,0.265,0.324,0.206,0.088,0.029,4.0,2021-06-27
109,23:29:35,23:34:35,23:42:35,0:02:35,0:47:35,1:02:35,1:07:35,98,5,8,20,45,15,5,0.088,0.265,0.324,0.206,0.088,0.029,6.0,2021-06-26
110,23:19:34,23:25:34,23:33:34,0:03:34,0:47:34,1:00:34,1:04:34,105,6,8,30,44,13,4,0.088,0.265,0.324,0.206,0.088,0.029,7.0,2021-06-24
111,10:42:35,10:51:35,11:01:35,11:08:35,12:00:35,12:11:35,12:18:35,96,9,10,7,52,11,7,0.088,0.265,0.324,0.206,0.088,0.029,5.0,2021-06-25
112,13:45:33,13:53:33,13:59:33,14:10:33,14:53:33,15:00:33,15:03:33,78,8,6,11,43,7,3,0.088,0.265,0.324,0.206,0.088,0.029,5.0,2021-06-20
113,5:48:20,5:51:20,5:54:20,6:06:20,6:54:20,7:08:20,7:17:20,89,3,3,12,48,14,9,0.088,0.265,0.324,0.206,0.088,0.029,5.0,2021-06-25
114,18:00:36,18:02:36,18:18:36,18:44:36,19:41:36,19:44:36,19:49:36,109,2,16,26,57,3,5,0.088,0.265,0.324,0.206,0.088,0.029,8.0,2021-06-26
115,4:58:02,5:04:02,5:15:02,5:22:02,5:48:02,6:01:02,6:09:02,71,6,11,7,26,13,8,0.088,0.265,0.324,0.206,0.088,0.029,4.0,2021-06-19
116,14:21:44,14:24:44,14:33:44,14:39:44,15:40:44,15:51:44,15:54:44,93,3,9,6,61,11,3,0.088,0.265,0.324,0.206,0.088,0.029,6.0,2021-06-24
117,1:49:57,1:54:57,2:03:57,2:15:57,2:42:57,2:58:57,2:59:57,70,5,9,12,27,16,1,0.088,0.265,0.324,0.206,0.088,0.029,4.0,2021-06-22
118,13:26:31,13:35:31,13:51:31,14:09:31,15:05:31,15:16:31,15:24:31,118,9,16,18,56,11,8,0.088,0.265,0.324,0.206,0.088,0.029,7.0,2021-06-25
119,23:21:45,23:28:45,23:43:45,0:11:45,0:56:45,1:13:45,1:14:45,113,7,15,28,45,17,1,0.088,0.265,0.324,0.206,0.088,0.029,8.0,2021-06-20
120,2:07:00,2:11:00,2:19:00,2:24:00,2:51:00,2:56:00,3:00:00,53,4,8,5,27,5,4,0.088,0.265,0.324,0.206,0.088,0.029,3.0,2021-06-27
121,2:58:16,3:01:16,3:17:16,3:24:16,4:07:16,4:19:16,4:26:16,88,3,16,7,43,12,7,0.088,0.265,0.324,0.206,0.088,0.029,5.0,2021-06-22
122,4:22:58,4:23:58,4:28:58,4:42:58,5:32:58,5:46:58,5:49:58,87,1,5,14,50,14,3,0.088,0.265,0.324,0.206,0.088,0.029,5.0,2021-06-24
123,6:17:06,6:23:06,6:30:06,6:54:06,7:45:06,8:02:06,8:07:06,110,6,7,24,51,17,5,0.088,0.265,0.324,0.206,0.088,0.029,7.0,2021-06-18
124,19:27:42,19:32:42,19:46:42,20:02:42,20:47:42,21:03:42,21:09:42,102,5,14,16,45,16,6,0.088,0.265,0.324,0.206,0.088,0.029,6.0,2021-06-22
125,9:14:17,9:15:17,9:25:17,9:51:17,10:22:17,10:31:17,10:37:17,83,1,10,26,31,9,6,0.088,0.265,0.324,0.206,0.088,0.029,6.0,2021-06-25
126,23:17:40,23:20:40,23:30:40,23:46:40,0:21:40,0:29:40,0:33:40,76,3,10,16,35,8,4,0.088,0.265,0.324,0.206,0.088,0.029,5.0,2021-06-23
127,18:47:40,18:55:40,19:00:40,19:26:40,20:14:40,20:30:40,20:35:40,108,8,5,26,48,16,5,0.088,0.265,0.324,0.206,0.088,0.029,7.0,2021-06-24
128,15:10:23,15:15:23,15:21:23,15:32:23,16:24:23,16:36:23,16:42:23,92,5,6,11,52,12,6,0.088,0.265,0.324,0.206,0.088,0.029,5.0,2021-06-25
129,16:08:20,16:10:20,16:22:20,16:45:20,17:19:20,17:24:20,17:25:20,77,2,12,23,34,5,1,0.088,0.265,0.324,0.206,0.088,0.029,6.0,2021-06-27
130,14:50:42,14:51:42,14:57:42,15:18:42,16:06:42,16:17:42,16:18:42,88,1,6,21,48,11,1,0.088,0.265,0.324,0.206,0.088,0.029,6.0,2021-06-21
131,18:27:44,18:30:44,18:41:44,18:49:44,19:33:44,19:48:44,19:51:44,84,3,11,8,44,15,3,0.088,0.265,0.324,0.206,0.088,0.029,5.0,2021-06-24
132,20:16:11,20:22:11,20:33:11,20:49:11,21:48:11,22:03:11,22:10:11,114,6,11,16,59,15,7,0.088,0.265,0.324,0.206,0.088,0.029,7.0,2021-06-27
133,20:16:16,20:21:16,20:36:16,21:08:16,21:42:16,21:56:16,22:05:16,109,5,15,32,34,14,9,0.088,0.265,0.324,0.206,0.088,0.029,7.0,2021-06-25
134,5:56:11,6:05:11,6:19:11,6:51:11,7:38:11,7:51:11,7:56:11,120,9,14,32,47,13,5,0.088,0.265,0.324,0.206,0.088,0.029,8.0,2021-06-18
135,18:51:57,18:55:57,18:59:57,19:19:57,19:51:57,20:04:57,20:09:57,78,4,4,20,32,13,5,0.088,0.265,0.324,0.206,0.088,0.029,5.0,2021-06-26
136,2:38:54,2:45:54,2:51:54,3:06:54,4:01:54,4:17:54,4:21:54,103,7,6,15,55,16,4,0.088,0.265,0.324,0.206,0.088,0.029,6.0,2021-06-22
137,11:08:24,11:10:24,11:22:24,11:53:24,12:42:24,12:55:24,13:02:24,114,2,12,31,49,13,7,0.088,0.265,0.324,0.206,0.088,0.029,8.0,2021-06-25
138,10:44:38,10:48:38,10:53:38,11:25:38,12:14:38,12:28:38,12:30:38,106,4,5,32,49,14,2,0.088,0.265,0.324,0.206,0.088,0.029,7.0,2021-06-27
139,8:40:47,8:46:47,8:51:47,9:15:47,9:42:47,9:54:47,10:00:47,80,6,5,24,27,12,6,0.088,0.265,0.324,0.206,0.088,0.029,5.0,2021-06-19
140,18:36:24,18:38:24,18:51:24,19:03:24,19:54:24,20:06:24,20:13:24,97,2,13,12,51,12,7,0.088,0.265,0.324,0.206,0.088,0.029,6.0,2021-06-26
141,19:07:00,19:10:00,19:17:00,19:42:00,20:07:00,20:21:00,20:28:00,81,3,7,25,25,14,7,0.088,0.265,0.324,0.206,0.088,0.029,5.0,2021-06-24
142,22:47:12,22:52:12,22:58:12,23:19:12,0:04:12,0:11:12,0:17:12,90,5,6,21,45,7,6,0.088,0.265,0.324,0.206,0.088,0.029,6.0,2021-06-25
143,16:14:43,16:21:43,16:29:43,16:43:43,17:11:43,17:16:43,17:19:43,65,7,8,14,28,5,3,0.088,0.265,0.324,0.206,0.088,0.029,4.0,2021-06-21
144,4:44:00,4:50:00,5:05:00,5:29:00,5:56:00,6:04:00,6:06:00,82,6,15,24,27,8,2,0.088,0.265,0.324,0.206,0.088,0.029,6.0,2021-06-18
145,10:32:53,10:36:53,10:48:53,11:08:53,11:58:53,12:06:53,12:07:53,95,4,12,20,50,8,1,0.088,0.265,0.324,0.206,0.088,0.029,7.0,2021-06-23
